fips,state_fips,state,state_name,county_fips,county_name
01001,01,AL,Alabama,001,Autauga County
01003,01,AL,Alabama,003,Baldwin County
01005,01,AL,Alabama,005,Barbour County
01007,01,AL,Alabama,007,Bibb County
01009,01,AL,Alabama,009,Blount County
01011,01,AL,Alabama,011,Bullock County
01013,01,AL,Alabama,013,Butler County
01015,01,AL,Alabama,015,Calhoun County
01017,01,AL,Alabama,017,Chambers County
01019,01,AL,Alabama,019,Cherokee County
01021,01,AL,Alabama,021,Chilton County
01023,01,AL,Alabama,023,Choctaw County
01025,01,AL,Alabama,025,Clarke County
01027,01,AL,Alabama,027,Clay County
01029,01,AL,Alabama,029,Cleburne County
01031,01,AL,Alabama,031,Coffee County
01033,01,AL,Alabama,033,Colbert County
01035,01,AL,Alabama,035,Conecuh County
01037,01,AL,Alabama,037,Coosa County
01039,01,AL,Alabama,039,Covington County
01041,01,AL,Alabama,041,Crenshaw County
01043,01,AL,Alabama,043,Cullman County
01045,01,AL,Alabama,045,Dale County
01047,01,AL,Alabama,047,Dallas County
01049,01,AL,Alabama,049,DeKalb County
01051,01,AL,Alabama,051,Elmore County
01053,01,AL,Alabama,053,Escambia County
01055,01,AL,Alabama,055,Etowah County
01057,01,AL,Alabama,057,Fayette County
01059,01,AL,Alabama,059,Franklin County
01061,01,AL,Alabama,061,Geneva County
01063,01,AL,Alabama,063,Greene County
01065,01,AL,Alabama,065,Hale County
01067,01,AL,Alabama,067,Henry County
01069,01,AL,Alabama,069,Houston County
01071,01,AL,Alabama,071,Jackson County
01073,01,AL,Alabama,073,Jefferson County
01075,01,AL,Alabama,075,Lamar County
01077,01,AL,Alabama,077,Lauderdale County
01079,01,AL,Alabama,079,Lawrence County
01081,01,AL,Alabama,081,Lee County
01083,01,AL,Alabama,083,Limestone County
01085,01,AL,Alabama,085,Lowndes County
01087,01,AL,Alabama,087,Macon County
01089,01,AL,Alabama,089,Madison County
01091,01,AL,Alabama,091,Marengo County
01093,01,AL,Alabama,093,Marion County
01095,01,AL,Alabama,095,Marshall County
01097,01,AL,Alabama,097,Mobile County
01099,01,AL,Alabama,099,Monroe County
01101,01,AL,Alabama,101,Montgomery County
01103,01,AL,Alabama,103,Morgan County
01105,01,AL,Alabama,105,Perry County
01107,01,AL,Alabama,107,Pickens County
01109,01,AL,Alabama,109,Pike County
01111,01,AL,Alabama,111,Randolph County
01113,01,AL,Alabama,113,Russell County
01115,01,AL,Alabama,115,St. Clair County
01117,01,AL,Alabama,117,Shelby County
01119,01,AL,Alabama,119,Sumter County
01121,01,AL,Alabama,121,Talladega County
01123,01,AL,Alabama,123,Tallapoosa County
01125,01,AL,Alabama,125,Tuscaloosa County
01127,01,AL,Alabama,127,Walker County
01129,01,AL,Alabama,129,Washington County
01131,01,AL,Alabama,131,Wilcox County
01133,01,AL,Alabama,133,Winston County
04001,04,AZ,Arizona,001,Apache County
04003,04,AZ,Arizona,003,Cochise County
04005,04,AZ,Arizona,005,Coconino County
04007,04,AZ,Arizona,007,Gila County
04009,04,AZ,Arizona,009,Graham County
04011,04,AZ,Arizona,011,Greenlee County
04012,04,AZ,Arizona,012,La Paz County
04013,04,AZ,Arizona,013,Maricopa County
04015,04,AZ,Arizona,015,Mohave County
04017,04,AZ,Arizona,017,Navajo County
04019,04,AZ,Arizona,019,Pima County
04021,04,AZ,Arizona,021,Pinal County
04023,04,AZ,Arizona,023,Santa Cruz County
04025,04,AZ,Arizona,025,Yavapai County
04027,04,AZ,Arizona,027,Yuma County
05001,05,AR,Arkansas,001,Arkansas County
05003,05,AR,Arkansas,003,Ashley County
05005,05,AR,Arkansas,005,Baxter County
05007,05,AR,Arkansas,007,Benton County
05009,05,AR,Arkansas,009,Boone County
05011,05,AR,Arkansas,011,Bradley County
05013,05,AR,Arkansas,013,Calhoun County
05015,05,AR,Arkansas,015,Carroll County
05017,05,AR,Arkansas,017,Chicot County
05019,05,AR,Arkansas,019,Clark County
05021,05,AR,Arkansas,021,Clay County
05023,05,AR,Arkansas,023,Cleburne County
05025,05,AR,Arkansas,025,Cleveland County
05027,05,AR,Arkansas,027,Columbia County
05029,05,AR,Arkansas,029,Conway County
05031,05,AR,Arkansas,031,Craighead County
05033,05,AR,Arkansas,033,Crawford County
05035,05,AR,Arkansas,035,Crittenden County
05037,05,AR,Arkansas,037,Cross County
05039,05,AR,Arkansas,039,Dallas County
05041,05,AR,Arkansas,041,Desha County
05043,05,AR,Arkansas,043,Drew County
05045,05,AR,Arkansas,045,Faulkner County
05047,05,AR,Arkansas,047,Franklin County
05049,05,AR,Arkansas,049,Fulton County
05051,05,AR,Arkansas,051,Garland County
05053,05,AR,Arkansas,053,Grant County
05055,05,AR,Arkansas,055,Greene County
05057,05,AR,Arkansas,057,Hempstead County
05059,05,AR,Arkansas,059,Hot Spring County
05061,05,AR,Arkansas,061,Howard County
05063,05,AR,Arkansas,063,Independence County
05065,05,AR,Arkansas,065,Izard County
05067,05,AR,Arkansas,067,Jackson County
05069,05,AR,Arkansas,069,Jefferson County
05071,05,AR,Arkansas,071,Johnson County
05073,05,AR,Arkansas,073,Lafayette County
05075,05,AR,Arkansas,075,Lawrence County
05077,05,AR,Arkansas,077,Lee County
05079,05,AR,Arkansas,079,Lincoln County
05081,05,AR,Arkansas,081,Little River County
05083,05,AR,Arkansas,083,Logan County
05085,05,AR,Arkansas,085,Lonoke County
05087,05,AR,Arkansas,087,Madison County
05089,05,AR,Arkansas,089,Marion County
05091,05,AR,Arkansas,091,Miller County
05093,05,AR,Arkansas,093,Mississippi County
05095,05,AR,Arkansas,095,Monroe County
05097,05,AR,Arkansas,097,Montgomery County
05099,05,AR,Arkansas,099,Nevada County
05101,05,AR,Arkansas,101,Newton County
05103,05,AR,Arkansas,103,Ouachita County
05105,05,AR,Arkansas,105,Perry County
05107,05,AR,Arkansas,107,Phillips County
05109,05,AR,Arkansas,109,Pike County
05111,05,AR,Arkansas,111,Poinsett County
05113,05,AR,Arkansas,113,Polk County
05115,05,AR,Arkansas,115,Pope County
05117,05,AR,Arkansas,117,Prairie County
05119,05,AR,Arkansas,119,Pulaski County
05121,05,AR,Arkansas,121,Randolph County
05123,05,AR,Arkansas,123,St. Francis County
05125,05,AR,Arkansas,125,Saline County
05127,05,AR,Arkansas,127,Scott County
05129,05,AR,Arkansas,129,Searcy County
05131,05,AR,Arkansas,131,Sebastian County
05133,05,AR,Arkansas,133,Sevier County
05135,05,AR,Arkansas,135,Sharp County
05137,05,AR,Arkansas,137,Stone County
05139,05,AR,Arkansas,139,Union County
05141,05,AR,Arkansas,141,Van Buren County
05143,05,AR,Arkansas,143,Washington County
05145,05,AR,Arkansas,145,White County
05147,05,AR,Arkansas,147,Woodruff County
05149,05,AR,Arkansas,149,Yell County
06001,06,CA,California,001,Alameda County
06003,06,CA,California,003,Alpine County
06005,06,CA,California,005,Amador County
06007,06,CA,California,007,Butte County
06009,06,CA,California,009,Calaveras County
06011,06,CA,California,011,Colusa County
06013,06,CA,California,013,Contra Costa County
06015,06,CA,California,015,Del Norte County
06017,06,CA,California,017,El Dorado County
06019,06,CA,California,019,Fresno County
06021,06,CA,California,021,Glenn County
06023,06,CA,California,023,Humboldt County
06025,06,CA,California,025,Imperial County
