"state","location_raw","county_name"
AZ,"01","Apache County"
AZ,"02","Cochise County"
AZ,"03","Coconino County"
AZ,"04","Gila County"
AZ,"05","Graham County"
AZ,"06","Greenlee County"
AZ,"07","Maricopa County"
AZ,"08","Mohave County"
AZ,"09","Navajo County"
AZ,"10","Pima County"
AZ,"11","Pinal County"
AZ,"12","Santa Cruz County"
AZ,"13","Yavapai County"
AZ,"14","Yuma County"
AZ,"15","La Paz County"
CA,"1",NA
CA,"10",NA
CA,"101","Shasta County"
CA,"11",NA
CA,"120","Del Norte County"
CA,"125","Humboldt County"
CA,"126","Mendocino County"
CA,"130","Tehama County"
CA,"131","Tehama County"
CA,"135","Shasta County"
CA,"140","Lassen County"
CA,"145","Siskyou County"
CA,"146","Siskyou County"
CA,"147","Siskyou County"
CA,"15",NA
CA,"150","Mendocino County"
CA,"151","Lake County"
CA,"155","Colusa County"
CA,"160","Glenn County"
CA,"165","Plumas County"
CA,"170","Modoc County"
CA,"175","Trinity County"
CA,"2",NA
CA,"201","Sacramento County"
CA,"21",NA
CA,"214","Sacramento County"
CA,"220","Placer County"
CA,"221","Nevada County"
CA,"222","Sierra County"
CA,"223","Sierra County"
CA,"230","Nevada County"
CA,"24",NA
CA,"240","Butte County"
CA,"241","Butte County"
CA,"245","El Dorado County"
CA,"246","Alpine County"
CA,"25",NA
CA,"250","Sacramento County"
CA,"252","Sacramento County"
CA,"255","Calaveras County"
CA,"26","Los Angeles County"
CA,"260","Sacramento County"
CA,"265","San Joaquin County"
CA,"266","San Joaquin County"
CA,"27",NA
CA,"280","Yolo County"
CA,"285","Sutter County"
CA,"295","Amador County"
CA,"301","Solano County"
CA,"318","San Francisco County"
CA,"320","Contra Costa County"
CA,"325","Napa County"
CA,"330","San Mateo County"
CA,"335","San Francisco County"
CA,"340","Santa Clara County"
CA,"345","Alameda County"
CA,"347","Alameda County"
CA,"350","Marin County"
CA,"360","Sonoma County"
CA,"365","Solano County"
CA,"366","Solano County"
CA,"370","Alameda County"
CA,"375","Alameda County"
CA,"390","Alameda County"
CA,"391","Alameda County"
CA,"40",NA
CA,"401","Fresno County"
CA,"420","Kern County"
CA,"424","Kern County"
CA,"425","Tuolumne County"
CA,"426","Kern County"
CA,"430","Kern County"
CA,"435","Fresno County"
CA,"440","Kings County"
CA,"450","Madera County"
CA,"455","Mariposa County"
CA,"456","Madera County"
CA,"460","Merced County"
CA,"461","Merced County"
CA,"464","Merced County"
CA,"465","Stanislaus County"
CA,"47",NA
CA,"480","Tulare County"
CA,"481","Tulare County"
CA,"495","Frenso County"
CA,"501","Los Angeles County"
CA,"51",NA
CA,"514","Los Angeles County"
CA,"52",NA
CA,"525","Los Angeles County"
CA,"530","Los Angeles County"
CA,"535","Los Angeles County"
CA,"540","Los Angeles County"
CA,"541","Los Angeles County"
CA,"545","Los Angeles County"
CA,"550","Los Angeles County"
CA,"565","Los Angeles County"
CA,"575","Los Angeles County"
CA,"580","Los Angeles County"
CA,"590","Los Angeles County"
CA,"6",NA
CA,"60",NA
CA,"601","San Diego County"
CA,"61",NA
CA,"618","San Diego County"
CA,"62",NA
CA,"620","Imperial County"
CA,"625","Imperial County"
CA,"626","Imperial County"
CA,"63",NA
CA,"630","San Diego County"
CA,"645","San Diego County"
CA,"646","San Diego County"
CA,"65",NA
CA,"650","San Diego County"
CA,"651","San Diego County"
CA,"655","Riverside County"
CA,"656","Riverside County"
CA,"660","Riverside County"
CA,"670","Orange County"
CA,"675","Orange County"
CA,"676","Orange County"
CA,"680","San Diego County"
CA,"685","Riverside Coujnty"
CA,"686","Riverside Coujnty"
CA,"690","Orange County"
CA,"70",NA
CA,"701","Santa Barbera County"
CA,"720","Santa Cruz County"
CA,"725","San Benito County"
CA,"726","San Benito County"
CA,"730","Monterey County"
CA,"735","Monterey County"
CA,"740","San Luis Obispo County"
CA,"745","San Luis Obispo County"
CA,"750","Santa Barbera County"
CA,"755","Santa Barbera County"
CA,"760","Santa Barbera County"
CA,"765","Santa Barbera County"
CA,"77",NA
CA,"770","Santa Barbera County"
CA,"771","Santa Barbera County"
CA,"801","San Bernardino County"
CA,"81",NA
CA,"818","San Bernardino County"
CA,"82",NA
CA,"820","Mono County"
CA,"825","Inyo County"
CA,"830","Kern County"
CA,"834","San Bernardino County"
CA,"835","San Bernardino County"
CA,"840","Riverside County"
CA,"850","San Bernardino County"
CA,"855","San Bernardino County"
CA,"860","San Bernardino County"
CA,"865","San Bernardino County"
CA,"870","San Bernardino County"
CA,"9",NA
CA,"91",NA
CO,"1","Denver County"
CO,"10","Arapahoe County"
CO,"11","Jefferson County"
CO,"12","Adams County"
CO,"13","Logan County"
CO,"14","Fremont County"
CO,"15","Morgan County"
CO,"16","Huerfano County"
CO,"17","Prowers County"
CO,"18","Delta County"
CO,"19","Yuma County"
CO,"2","Pueblo County"
CO,"20","La Plata County"
CO,"21","Montrose County"
CO,"22","Baca County"
CO,"23","Rio Grande County"
CO,"24","Garfield County"
CO,"25","Conejos County"
CO,"26","Kit Carson County"
CO,"27","Washington County"
CO,"28","Routt County"
CO,"29","Bent County"
CO,"3","Weld County"
CO,"30","Alamosa County"
CO,"31","Chaffee County"
CO,"32","Montezuma County"
CO,"33","Lincoln County"
CO,"34","Elbert County"
CO,"35","Saguache County"
CO,"36","Crowley County"
CO,"37","Phillips County"
CO,"38","Costilla County"
CO,"39","Sedgwick County"
CO,"4","El Paso County"
CO,"40","Gunnison County"
CO,"41","Lake County"
CO,"42","Moffat County"
CO,"43","Teller County"
CO,"44","Eagle County"
CO,"45","Kiowa County"
CO,"46","Cheyenne County"
CO,"47","Douglas County"
CO,"48","Archuleta County"
CO,"49","Rio Blanco County"
CO,"5","Las Animas County"
CO,"50","San Miguel County"
CO,"51","Clear Creek County"
CO,"52","Custer County"
CO,"53","Grand County"
CO,"54","Park County"
CO,"55","San Juan County"
CO,"56","Ouray County"
CO,"57","Pitkin County"
CO,"58","Dolores County"
CO,"59","Jackson County"
CO,"6","Larimer County"
CO,"60","Gilpin County"
CO,"61","Summit County"
CO,"62","Mineral County"
CO,"63","Hinsdale County"
CO,"64","Broomfield County"
CO,"7","Boulder County"
CO,"8","Mesa County"
CO,"9","Otero County"
CT,"""oakville ""","Litchfield County"
CT,"106","Fairfield County"
CT,"2","Hartford County"
CT,"345","Fairfield County"
CT,"419","Fairfield County"
CT,"`new haven","New Haven County"
CT,"aansonia","New Haven County"
CT,"andover","Tolland County"
CT,"ansonia","New Haven County"
CT,"ashford","Windham County"
CT,"avon","Hartford County"
CT,"barkhamsted","Litchfield County"
CT,"beacon falls","New Haven County"
CT,"behel","Fairfield County"
CT,"belle haven","Fairfield County"
CT,"berlin","Hartford County"
CT,"betel","Fairfield County"
CT,"bethany","New Haven County"
CT,"bethel","Fairfield County"
CT,"bethle","Fairfield County"
CT,"bethlehem","Litchfield County"
CT,"bloomfield","Hartford County"
CT,"bolton","Tolland County"
CT,"bozrah","New London County"
CT,"branford","New Haven County"
CT,"bridgeport","Fairfield County"
CT,"bridgewater","Litchfield County"
CT,"bristol","Hartford County"
CT,"bristol, ct","Hartford County"
CT,"brookfield","Fairfield County"
CT,"brooklyn","Windham County"
CT,"burlington","Hartford County"
CT,"byram","Fairfield County"
CT,"canaan","Litchfield County"
CT,"canterbury","Windham County"
CT,"canton","Hartford County"
