state,county_name,county_fips,district
IA,Adair County,19001,Iowa State Patrol - Dist 03
IA,Adams County,19003,Iowa State Patrol - Dist 03
IA,Allamakee County,19005,Iowa State Patrol - Dist 10
IA,Appanoose County,19007,Iowa State Patrol - Dist 02
IA,Audubon County,19009,Iowa State Patrol - Dist 04
IA,Benton County,19011,Iowa State Patrol - Dist 11
IA,Black Hawk County,19013,Iowa State Patrol - Dist 09
IA,Boone County,19015,Iowa State Patrol - Dist 01
IA,Bremer County,19017,Iowa State Patrol - Dist 09
IA,Buchanan County,19019,Iowa State Patrol - Dist 10
IA,Buena Vista County,19021,Iowa State Patrol - Dist 05
IA,Butler County,19023,Iowa State Patrol - Dist 09
IA,Calhoun County,19025,Iowa State Patrol - Dist 07
IA,Carroll County,19027,Iowa State Patrol - Dist 04
IA,Cass County,19029,Iowa State Patrol - Dist 03
IA,Cedar County,19031,Iowa State Patrol - Dist 12
IA,Cerro Gordo County,19033,Iowa State Patrol - Dist 08
IA,Cherokee County,19035,Iowa State Patrol - Dist 05
IA,Chickasaw County,19037,Iowa State Patrol - Dist 08
IA,Clarke County,19039,Iowa State Patrol - Dist 02
IA,Clay County,19041,Iowa State Patrol - Dist 06
IA,Clayton County,19043,Iowa State Patrol - Dist 10
IA,Clinton County,19045,Iowa State Patrol - Dist 12
IA,Crawford County,19047,Iowa State Patrol - Dist 04
IA,Dallas County,19049,Iowa State Patrol - Dist 01
IA,Davis County,19051,Iowa State Patrol - Dist 13
IA,Decatur County,19053,Iowa State Patrol - Dist 02
IA,Delaware County,19055,Iowa State Patrol - Dist 10
IA,Des Moines County,19057,Iowa State Patrol - Dist 13
IA,Dickinson County,19059,Iowa State Patrol - Dist 06
IA,Dubuque County,19061,Iowa State Patrol - Dist 10
IA,Emmet County,19063,Iowa State Patrol - Dist 06
IA,Fayette County,19065,Iowa State Patrol - Dist 10
IA,Floyd County,19067,Iowa State Patrol - Dist 08
IA,Franklin County,19069,Iowa State Patrol - Dist 09
IA,Fremont County,19071,Iowa State Patrol - Dist 03
IA,Greene County,19073,Iowa State Patrol - Dist 04
IA,Grundy County,19075,Iowa State Patrol - Dist 09
IA,Guthrie County,19077,Iowa State Patrol - Dist 04
IA,Hamilton County,19079,Iowa State Patrol - Dist 07
IA,Hancock County,19081,Iowa State Patrol - Dist 08
IA,Hardin County,19083,Iowa State Patrol - Dist 09
IA,Harrison County,19085,Iowa State Patrol - Dist 04
IA,Henry County,19087,Iowa State Patrol - Dist 13
IA,Howard County,19089,Iowa State Patrol - Dist 08
IA,Humboldt County,19091,Iowa State Patrol - Dist 07
IA,Ida County,19093,Iowa State Patrol - Dist 05
IA,Iowa County,19095,Iowa State Patrol - Dist 11
IA,Jackson County,19097,Iowa State Patrol - Dist 12
IA,Jasper County,19099,Iowa State Patrol - Dist 01
IA,Jefferson County,19101,Iowa State Patrol - Dist 13
IA,Johnson County,19103,Iowa State Patrol - Dist 11
IA,Jones County,19105,Iowa State Patrol - Dist 12
IA,Keokuk County,19107,Iowa State Patrol - Dist 13
IA,Kossuth County,19109,Iowa State Patrol - Dist 07
IA,Lee County,19111,Iowa State Patrol - Dist 13
IA,Linn County,19113,Iowa State Patrol - Dist 11
IA,Louisa County,19115,Iowa State Patrol - Dist 13
IA,Lucas County,19117,Iowa State Patrol - Dist 02
IA,Lyon County,19119,Iowa State Patrol - Dist 06
IA,Madison County,19121,Iowa State Patrol - Dist 02
IA,Mahaska County,19123,Iowa State Patrol - Dist 13
IA,Marion County,19125,Iowa State Patrol - Dist 02
IA,Marshall County,19127,Iowa State Patrol - Dist 01
IA,Mills County,19129,Iowa State Patrol - Dist 03
IA,Mitchell County,19131,Iowa State Patrol - Dist 08
IA,Monona County,19133,Iowa State Patrol - Dist 04
IA,Monroe County,19135,Iowa State Patrol - Dist 02
IA,Montgomery County,191137,Iowa State Patrol - Dist 03
IA,Muscatine County,19139,Iowa State Patrol - Dist 12
IA,O'Brien County,19141,Iowa State Patrol - Dist 06
IA,Osceola County,19143,Iowa State Patrol - Dist 06
IA,Page County,19145,Iowa State Patrol - Dist 03
IA,Palo Alto County,19147,Iowa State Patrol - Dist 06
IA,Plymouth County,19149,Iowa State Patrol - Dist 05
IA,Pocahontas County,19151,Iowa State Patrol - Dist 07
IA,Polk County,19153,Iowa State Patrol - Dist 01
IA,Pottawattamie County,19155,Iowa State Patrol - Dist 03
IA,Poweshiek County,19157,Iowa State Patrol - Dist 11
IA,Ringgold County,19159,Iowa State Patrol - Dist 02
