"state","violation_raw","violation","violation_clean"
"AZ","ER","Expired regis","Registration/plates"
"AZ","NL","No license or","License"
"AZ","SP","Speed/speed","Speeding"
"AZ","UL","Unsafe lane","Safe movement"
"AZ","FC","Following t","Safe movement"
"AZ","IT","Impropoper tur","Safe movement"
"AZ","FS","Failure to sig","Safe movement"
"AZ","FT","Failure to st","Stop sign/light"
"AZ","LR","Lamps requir","Lights"
"AZ","EV","Equipment vi","Equipment"
"AZ","OM","Other movin","Moving violation"
"AZ","ON","Other non-m","Other"
"AZ","DU","DUI","DUI"
"AZ","NI","No insurance","Paperwork"
"CA","1","Moving Violation (VC)","Moving violation"
"CA","2","Mechanical or Nonmoving Violation (VC)","Equipment"
"CA","3","DUI Check","DUI"
"CA","4","Penal Code/All Other Codes","Other"
"CA","5","Traffic Collision","Other"
"CA","6","Motorist/Public Service","Other"
"CA","7","Inspection/Scale Facility","Other"
"CA","8","Other Agency Assist/BOLO/APB/Warrant","Other"
"CO","'Failed to (Provide/Properly Use) Seatbelt (6 - 15 Years of Age/More Than 6 or 55"" Tall) (Primary)'","'Failed to (Provide/Properly Use) Seatbelt (6 - 15 Years of Age/More Than 6 or 55"" Tall) (Primary)'","Seat belt"
"CO","(Attempted to Pass/Passed) on Shoulder of Right Hand Traffic Lane","(Attempted to Pass/Passed) on Shoulder of Right Hand Traffic Lane","Safe movement"
"CO","(Displayed/Possessed/Offered For Sale) (Fictitious/Cancelled/Revoked/ Suspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","(Displayed/Possessed/Offered For Sale) (Fictitious/Cancelled/Revoked/ Suspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","Registration/plates"
"CO","(Displayed/Possessed/Offered For Sale)(Fictitious/ Cancelled/Revoked/Suspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","Displayed/Possessed/Offered For Sale)(Fictitious/ Cancelled/Revoked/Suspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","Registration/plates"
"CO","(Displayed/Possessed/Offered For Sale)(Fictitious/Cancelled/Revoked/S uspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","(Displayed/Possessed/Offered For Sale)(Fictitious/Cancelled/Revoked/S uspended/Altered/Stolen) (Title/Number Plate/Validation Tab or Sticker)","Registration/plates"
"CO","(Disregarded/Failed to Stop as Required at) Stop Sign at Through Highway","(Disregarded/Failed to Stop as Required at) Stop Sign at Through Highway","Stop sign/light"
"CO","(Drank From/Possessed) an Open Alcoholic Beverage Container in a Motor Vehicle","(Drank From/Possessed) an Open Alcoholic Beverage Container in a Motor Vehicle","Other"
"CO","(Failed to Observe/Disregarded) Traffic Control Device","Failed to Observe/Disregarded) Traffic Control Device","Safe movement"
"CO","(Failed to Signal as Required/Gave Improper Signal) for (Turn/Stop/Sudden Decrease in Speed)","(Failed to Signal as Required/Gave Improper Signal) for (Turn/Stop/Sudden Decrease in Speed)","Safe movement"
"CO","(Left/Deposited/Threw) Burning Material from a Motor Vehicle","(Left/Deposited/Threw) Burning Material from a Motor Vehicle","Safe movement"
"CO","(Operated/Permitted Use of) Unregistered Vehicle","(Operated/Permitted Use of) Unregistered Vehicle","Registration/plates"
"CO","[1-29 days]Displayed Expired Number Plates","[1-29 days]Displayed Expired Number Plates","Registration/plates"
"CO","[1-29 days]Displayed Expired Temporary Permit","[1-29 days]Displayed Expired Temporary Permit","Registration/plates"
"CO","[30-59 days]Displayed Expired Number Plates","[30-59 days]Displayed Expired Number Plates","Registration/plates"
"CO","[60 or more days]Displayed Expired Number Plates","60 or more days]Displayed Expired Number Plates","Registration/plates"
"CO","Abandoned Vehicle","Abandoned Vehicle","Other"
"CO","Accident","Accident","Other"
"CO","Agency Assist","Agency Assist","Other"
"CO","Careless Driving Caused Bodily Injury","Careless Driving Caused Bodily Injury","Safe movement"
"CO","Careless Driving","Careless Driving","Safe movement"
"CO","Careless Driving:  Failed to Yield Right-of-Way to a Stationary (Emergency/Tow Carrier) Vehicle - 42-4-705(2)","Careless Driving:  Failed to Yield Right-of-Way to a Stationary (Emergency/Tow Carrier) Vehicle - 42-4-705(2)","Safe movement"
"CO","Certified VIN Inspection","Certified VIN Inspection","Paperwork"
"CO","Changed Lanes When Unsafe","Changed Lanes When Unsafe","Safe movement"
"CO","Changed Lanes Where Prohibited by Official Traffic Control Device","Changed Lanes Where Prohibited by Official Traffic Control Device","Safe movement"
"CO","CMV Commercial Vehicle Failed to Comply With D.P.S. Rules and Regulations Governing Safety Standards and Specifications","CMV Commercial Vehicle Failed to Comply With D.P.S. Rules and Regulations Governing Safety Standards and Specifications","Truck"
"CO","Commercial Vehicle Failed to Comply With D.P.S. Rules and Regulations Governing Safety Standards and Specifications","Commercial Vehicle Failed to Comply With D.P.S. Rules and Regulations Governing Safety Standards and Specifications","Truck"
"CO","Displayed Expired Number Plates","Displayed Expired Number Plates","Registration/plates"
"CO","Displayed Expired Temporary Permit","Displayed Expired Temporary Permit","Registration/plates"
"CO","Driver's Vision Obstructed Through Required Glass","Driver's Vision Obstructed Through Required Glass","Equipment"
"CO","Drove (Motor/Off-highway) Vehicle upon Highway When (License/ Privilege to Drive) was Restrained for Express Consent or Alcohol/ Drug Related Offense","Drove (Motor/Off-highway) Vehicle upon Highway When (License/ Privilege to Drive) was Restrained for Express Consent or Alcohol/ Drug Related Offense","License"
