driver_race,location,n_stops,county_population
Black drivers,04001,214.0,215.0
Hispanic drivers,04001,784.0,2998.0
White drivers,04001,4892.0,11344.0
Black drivers,04003,946.0,4112.0
Hispanic drivers,04003,8098.0,31310.0
White drivers,04003,9224.0,63426.0
Black drivers,04005,958.0,1354.0
Hispanic drivers,04005,2623.0,13244.0
White drivers,04005,14378.0,63605.0
Black drivers,04007,170.0,206.0
Hispanic drivers,04007,1214.0,7238.0
White drivers,04007,8644.0,29846.0
Black drivers,04009,94.0,585.0
Hispanic drivers,04009,1139.0,8574.0
White drivers,04009,3086.0,15042.0
Black drivers,04011,28.0,80.0
Hispanic drivers,04011,316.0,2995.0
White drivers,04011,602.0,3378.0
Black drivers,04012,644.0,122.0
Hispanic drivers,04012,2645.0,3660.0
White drivers,04012,5560.0,11391.0
Black drivers,04013,10926.0,146524.0
Hispanic drivers,04013,30254.0,804141.0
White drivers,04013,85980.0,1918006.0
Black drivers,04015,924.0,1730.0
Hispanic drivers,04015,2488.0,22529.0
White drivers,04015,12606.0,136876.0
Black drivers,04017,538.0,773.0
Hispanic drivers,04017,1700.0,8155.0
White drivers,04017,10526.0,37386.0
Black drivers,04019,1732.0,25774.0
Hispanic drivers,04019,12934.0,251561.0
White drivers,04019,16639.0,468371.0
Black drivers,04021,1522.0,12902.0
Hispanic drivers,04021,9681.0,78115.0
White drivers,04021,16688.0,185686.0
Black drivers,04023,85.0,116.0
Hispanic drivers,04023,5170.0,27948.0
White drivers,04023,1158.0,6615.0
Black drivers,04025,1158.0,1082.0
Hispanic drivers,04025,3896.0,20620.0
White drivers,04025,20449.0,152903.0
Black drivers,04027,648.0,3154.0
Hispanic drivers,04027,5894.0,86640.0
White drivers,04027,7478.0,60052.0
Black drivers,06001,42758.0,148833.0
Hispanic drivers,06001,60152.0,258943.0
White drivers,06001,84437.0,456108.0
Black drivers,06005,304.0,738.0
Hispanic drivers,06005,1138.0,3750.0
White drivers,06005,9521.0,26004.0
Black drivers,06007,930.0,2593.0
Hispanic drivers,06007,3415.0,23969.0
White drivers,06007,24950.0,140189.0
Black drivers,06009,197.0,310.0
Hispanic drivers,06009,887.0,3711.0
White drivers,06009,10968.0,31950.0
Black drivers,06011,601.0,154.0
Hispanic drivers,06011,2939.0,8342.0
White drivers,06011,9520.0,6830.0
Black drivers,06013,10863.0,76816.0
Hispanic drivers,06013,11103.0,193198.0
White drivers,06013,24860.0,428007.0
