driver_race,location,n_searches,n_stops
White drivers,04001,511.0,30573.0
Black drivers,04001,99.0,1285.0
Hispanic drivers,04001,259.0,4876.0
White drivers,04003,1266.0,52351.0
Black drivers,04003,268.0,5652.0
Hispanic drivers,04003,1700.0,45711.0
White drivers,04005,1917.0,82996.0
Black drivers,04005,387.0,5700.0
Hispanic drivers,04005,939.0,15466.0
White drivers,04007,734.0,52369.0
Black drivers,04007,41.0,1105.0
Hispanic drivers,04007,273.0,7226.0
White drivers,04009,776.0,19586.0
Black drivers,04009,48.0,603.0
Hispanic drivers,04009,502.0,6960.0
White drivers,04011,76.0,3539.0
Black drivers,04011,6.0,121.0
Hispanic drivers,04011,34.0,1540.0
White drivers,04012,633.0,30884.0
Black drivers,04012,166.0,3476.0
Hispanic drivers,04012,499.0,13741.0
White drivers,04013,17893.0,449118.0
Black drivers,04013,4780.0,58525.0
Hispanic drivers,04013,16311.0,162035.0
White drivers,04015,2733.0,72748.0
Black drivers,04015,492.0,5824.0
Hispanic drivers,04015,1004.0,14716.0
White drivers,04017,2009.0,62603.0
Black drivers,04017,346.0,3363.0
Hispanic drivers,04017,822.0,10099.0
White drivers,04019,3247.0,95274.0
Black drivers,04019,716.0,10216.0
Hispanic drivers,04019,6169.0,75483.0
White drivers,04021,2507.0,94059.0
Black drivers,04021,636.0,9362.0
Hispanic drivers,04021,4644.0,57405.0
White drivers,04023,127.0,6506.0
Black drivers,04023,13.0,480.0
Hispanic drivers,04023,1156.0,29459.0
White drivers,04025,3076.0,113271.0
Black drivers,04025,444.0,6876.0
Hispanic drivers,04025,1714.0,22411.0
White drivers,04027,549.0,38998.0
Black drivers,04027,85.0,3576.0
Hispanic drivers,04027,716.0,32571.0
White drivers,06001,9499.0,422186.0
Black drivers,06001,14384.0,213790.0
Hispanic drivers,06001,15325.0,300762.0
White drivers,06003,1489.0,51706.0
Black drivers,06003,56.0,1245.0
Hispanic drivers,06003,268.0,6044.0
White drivers,06005,879.0,47604.0
Black drivers,06005,49.0,1518.0
Hispanic drivers,06005,283.0,5690.0
White drivers,06007,4437.0,124749.0
Black drivers,06007,239.0,4652.0
Hispanic drivers,06007,825.0,17077.0
White drivers,06009,1469.0,54839.0
Black drivers,06009,32.0,983.0
Hispanic drivers,06009,188.0,4436.0
White drivers,06011,887.0,47599.0
Black drivers,06011,114.0,3004.0
Hispanic drivers,06011,583.0,14697.0
White drivers,06013,3269.0,124302.0
Black drivers,06013,2357.0,54315.0
Hispanic drivers,06013,2892.0,55515.0
White drivers,06015,1061.0,42506.0
Black drivers,06015,13.0,508.0
Hispanic drivers,06015,146.0,2953.0
White drivers,06017,3469.0,97416.0
Black drivers,06017,110.0,2545.0
Hispanic drivers,06017,465.0,7802.0
White drivers,06019,4729.0,150985.0
Black drivers,06019,1318.0,23160.0
Hispanic drivers,06019,17429.0,215041.0
White drivers,06021,828.0,52204.0
Black drivers,06021,82.0,2514.0
Hispanic drivers,06021,567.0,13255.0
White drivers,06023,4363.0,75936.0
Black drivers,06023,153.0,2271.0
Hispanic drivers,06023,456.0,4942.0
White drivers,06025,1083.0,100234.0
Black drivers,06025,270.0,13849.0
Hispanic drivers,06025,4243.0,251758.0
White drivers,06027,1208.0,60732.0
Black drivers,06027,53.0,1872.0
Hispanic drivers,06027,391.0,11291.0
White drivers,06029,9810.0,392138.0
Black drivers,06029,2411.0,68805.0
Hispanic drivers,06029,15957.0,409070.0
White drivers,06031,1073.0,47596.0
Black drivers,06031,294.0,6427.0
Hispanic drivers,06031,2778.0,55431.0
White drivers,06033,2277.0,44830.0
Black drivers,06033,113.0,1642.0
Hispanic drivers,06033,582.0,6822.0
White drivers,06035,1267.0,72727.0
Black drivers,06035,57.0,1928.0
Hispanic drivers,06035,142.0,5049.0
White drivers,06037,24606.0,1125904.0
Black drivers,06037,19463.0,510436.0
Hispanic drivers,06037,84870.0,1850224.0
White drivers,06039,2427.0,63968.0
Black drivers,06039,205.0,4418.0
Hispanic drivers,06039,3263.0,48177.0
White drivers,06041,3853.0,172596.0
Black drivers,06041,577.0,13295.0
Hispanic drivers,06041,2275.0,33811.0
White drivers,06043,347.0,24354.0
Black drivers,06043,15.0,381.0
Hispanic drivers,06043,79.0,2826.0
White drivers,06045,5920.0,145147.0
Black drivers,06045,305.0,4551.0
Hispanic drivers,06045,1547.0,22135.0
White drivers,06047,2069.0,115370.0
Black drivers,06047,593.0,17158.0
Hispanic drivers,06047,7898.0,133097.0
White drivers,06049,347.0,25053.0
Black drivers,06049,17.0,387.0
Hispanic drivers,06049,50.0,1921.0
White drivers,06051,704.0,51249.0
Black drivers,06051,37.0,1406.0
Hispanic drivers,06051,191.0,8543.0
White drivers,06053,3200.0,147705.0
Black drivers,06053,435.0,11924.0
Hispanic drivers,06053,8700.0,138807.0
White drivers,06055,2519.0,77951.0
Black drivers,06055,159.0,4039.0
Hispanic drivers,06055,2317.0,28997.0
White drivers,06057,2534.0,102697.0
Black drivers,06057,124.0,4558.0
Hispanic drivers,06057,247.0,10640.0
White drivers,06059,10640.0,483711.0
Black drivers,06059,1754.0,53711.0
Hispanic drivers,06059,16748.0,327358.0
White drivers,06061,1960.0,95045.0
Black drivers,06061,160.0,4356.0
Hispanic drivers,06061,486.0,10616.0
White drivers,06063,1322.0,41826.0
Black drivers,06063,46.0,1083.0
Hispanic drivers,06063,117.0,2486.0
White drivers,06065,7547.0,295735.0
Black drivers,06065,2617.0,79658.0
Hispanic drivers,06065,14529.0,349281.0
White drivers,06067,15470.0,435175.0
Black drivers,06067,7469.0,116018.0
Hispanic drivers,06067,8966.0,131852.0
White drivers,06069,1728.0,112449.0
Black drivers,06069,220.0,12807.0
Hispanic drivers,06069,4445.0,141739.0
White drivers,06071,13295.0,576327.0
Black drivers,06071,4824.0,141369.0
Hispanic drivers,06071,19123.0,480763.0
White drivers,06073,21856.0,767921.0
Black drivers,06073,4835.0,122669.0
Hispanic drivers,06073,25983.0,764759.0
White drivers,06075,3434.0,125730.0
Black drivers,06075,2175.0,39766.0
Hispanic drivers,06075,3028.0,47427.0
White drivers,06077,6718.0,161584.0
Black drivers,06077,2878.0,40081.0
Hispanic drivers,06077,10302.0,121935.0
White drivers,06079,4166.0,144639.0
Black drivers,06079,208.0,5243.0
Hispanic drivers,06079,3327.0,47779.0
White drivers,06081,3119.0,151706.0
Black drivers,06081,732.0,18035.0
Hispanic drivers,06081,4324.0,69032.0
White drivers,06085,3162.0,174447.0
Black drivers,06085,767.0,23627.0
Hispanic drivers,06085,6573.0,134840.0
White drivers,06087,5028.0,137506.0
Black drivers,06087,240.0,4437.0
Hispanic drivers,06087,3997.0,51613.0
