driver_race,location,n_arrests,n_stops
White drivers,04001,183.0,30573.0
Black drivers,04001,20.0,1285.0
Hispanic drivers,04001,89.0,4876.0
White drivers,04003,404.0,52351.0
Black drivers,04003,87.0,5652.0
Hispanic drivers,04003,472.0,45711.0
White drivers,04005,933.0,82996.0
Black drivers,04005,148.0,5700.0
Hispanic drivers,04005,349.0,15466.0
White drivers,04007,377.0,52369.0
Black drivers,04007,14.0,1105.0
Hispanic drivers,04007,95.0,7226.0
White drivers,04009,428.0,19586.0
Black drivers,04009,20.0,603.0
Hispanic drivers,04009,301.0,6960.0
White drivers,04011,32.0,3539.0
Black drivers,04011,3.0,121.0
Hispanic drivers,04011,11.0,1540.0
White drivers,04012,224.0,30884.0
Black drivers,04012,57.0,3476.0
Hispanic drivers,04012,146.0,13741.0
White drivers,04013,7876.0,449118.0
Black drivers,04013,2019.0,58525.0
Hispanic drivers,04013,5271.0,162035.0
White drivers,04015,1161.0,72748.0
Black drivers,04015,136.0,5824.0
Hispanic drivers,04015,302.0,14716.0
White drivers,04017,960.0,62603.0
Black drivers,04017,128.0,3363.0
Hispanic drivers,04017,353.0,10099.0
White drivers,04019,1416.0,95274.0
Black drivers,04019,237.0,10216.0
Hispanic drivers,04019,1802.0,75483.0
White drivers,04021,893.0,94059.0
Black drivers,04021,181.0,9362.0
Hispanic drivers,04021,869.0,57405.0
White drivers,04023,62.0,6506.0
Black drivers,04023,6.0,480.0
Hispanic drivers,04023,292.0,29459.0
White drivers,04025,1410.0,113271.0
Black drivers,04025,151.0,6876.0
Hispanic drivers,04025,500.0,22411.0
White drivers,04027,249.0,38998.0
Black drivers,04027,40.0,3576.0
Hispanic drivers,04027,197.0,32571.0
White drivers,06001,8117.0,422186.0
Black drivers,06001,10239.0,213790.0
Hispanic drivers,06001,10087.0,300762.0
White drivers,06003,1321.0,51706.0
Black drivers,06003,49.0,1245.0
Hispanic drivers,06003,210.0,6044.0
White drivers,06005,730.0,47604.0
Black drivers,06005,21.0,1518.0
Hispanic drivers,06005,107.0,5690.0
White drivers,06007,3696.0,124749.0
Black drivers,06007,157.0,4652.0
Hispanic drivers,06007,607.0,17077.0
White drivers,06009,1245.0,54839.0
Black drivers,06009,21.0,983.0
Hispanic drivers,06009,115.0,4436.0
White drivers,06011,589.0,47599.0
Black drivers,06011,48.0,3004.0
Hispanic drivers,06011,346.0,14697.0
White drivers,06013,3034.0,124302.0
Black drivers,06013,1908.0,54315.0
Hispanic drivers,06013,2333.0,55515.0
White drivers,06015,866.0,42506.0
Black drivers,06015,6.0,508.0
Hispanic drivers,06015,105.0,2953.0
White drivers,06017,3102.0,97416.0
Black drivers,06017,90.0,2545.0
Hispanic drivers,06017,345.0,7802.0
White drivers,06019,3218.0,150985.0
Black drivers,06019,840.0,23160.0
Hispanic drivers,06019,8463.0,215041.0
White drivers,06021,640.0,52204.0
Black drivers,06021,45.0,2514.0
Hispanic drivers,06021,308.0,13255.0
White drivers,06023,3132.0,75936.0
Black drivers,06023,101.0,2271.0
Hispanic drivers,06023,277.0,4942.0
White drivers,06025,900.0,100234.0
Black drivers,06025,165.0,13849.0
Hispanic drivers,06025,3119.0,251758.0
White drivers,06027,823.0,60732.0
Black drivers,06027,34.0,1872.0
Hispanic drivers,06027,233.0,11291.0
White drivers,06029,7593.0,392138.0
Black drivers,06029,1310.0,68805.0
Hispanic drivers,06029,9906.0,409070.0
White drivers,06031,1031.0,47596.0
Black drivers,06031,239.0,6427.0
Hispanic drivers,06031,1963.0,55431.0
White drivers,06033,2178.0,44830.0
Black drivers,06033,87.0,1642.0
Hispanic drivers,06033,548.0,6822.0
White drivers,06035,1143.0,72727.0
Black drivers,06035,31.0,1928.0
Hispanic drivers,06035,96.0,5049.0
White drivers,06037,22641.0,1125904.0
Black drivers,06037,15396.0,510436.0
Hispanic drivers,06037,64456.0,1850224.0
White drivers,06039,2002.0,63968.0
Black drivers,06039,168.0,4418.0
Hispanic drivers,06039,2686.0,48177.0
White drivers,06041,3372.0,172596.0
Black drivers,06041,401.0,13295.0
Hispanic drivers,06041,1130.0,33811.0
White drivers,06043,281.0,24354.0
Black drivers,06043,9.0,381.0
Hispanic drivers,06043,36.0,2826.0
White drivers,06045,4135.0,145147.0
Black drivers,06045,168.0,4551.0
Hispanic drivers,06045,862.0,22135.0
White drivers,06047,1785.0,115370.0
Black drivers,06047,368.0,17158.0
Hispanic drivers,06047,4003.0,133097.0
White drivers,06049,348.0,25053.0
Black drivers,06049,9.0,387.0
Hispanic drivers,06049,40.0,1921.0
White drivers,06051,667.0,51249.0
Black drivers,06051,30.0,1406.0
Hispanic drivers,06051,148.0,8543.0
White drivers,06053,2803.0,147705.0
Black drivers,06053,308.0,11924.0
Hispanic drivers,06053,6302.0,138807.0
White drivers,06055,2082.0,77951.0
Black drivers,06055,113.0,4039.0
Hispanic drivers,06055,1218.0,28997.0
White drivers,06057,1996.0,102697.0
Black drivers,06057,91.0,4558.0
Hispanic drivers,06057,146.0,10640.0
White drivers,06059,9535.0,483711.0
Black drivers,06059,1371.0,53711.0
Hispanic drivers,06059,11602.0,327358.0
White drivers,06061,1541.0,95045.0
Black drivers,06061,80.0,4356.0
Hispanic drivers,06061,233.0,10616.0
White drivers,06063,990.0,41826.0
Black drivers,06063,25.0,1083.0
Hispanic drivers,06063,72.0,2486.0
White drivers,06065,6131.0,295735.0
Black drivers,06065,1901.0,79658.0
Hispanic drivers,06065,11028.0,349281.0
White drivers,06067,13564.0,435175.0
Black drivers,06067,5784.0,116018.0
Hispanic drivers,06067,6946.0,131852.0
White drivers,06069,1321.0,112449.0
Black drivers,06069,135.0,12807.0
Hispanic drivers,06069,2807.0,141739.0
White drivers,06071,12155.0,576327.0
Black drivers,06071,4011.0,141369.0
Hispanic drivers,06071,15600.0,480763.0
White drivers,06073,19615.0,767921.0
Black drivers,06073,3873.0,122669.0
Hispanic drivers,06073,20045.0,764759.0
White drivers,06075,3163.0,125730.0
Black drivers,06075,1676.0,39766.0
Hispanic drivers,06075,2411.0,47427.0
White drivers,06077,5424.0,161584.0
Black drivers,06077,2236.0,40081.0
Hispanic drivers,06077,7583.0,121935.0
White drivers,06079,3779.0,144639.0
