driver_race,location,n_hits,n_searches
White drivers,08123,334.0,457.0
Black drivers,08123,22.0,36.0
Hispanic drivers,08123,110.0,186.0
White drivers,09001,132.0,367.0
Black drivers,09001,81.0,245.0
Hispanic drivers,09001,41.0,151.0
White drivers,09003,105.0,351.0
Black drivers,09003,80.0,298.0
Hispanic drivers,09003,58.0,209.0
White drivers,09005,167.0,406.0
Black drivers,09005,13.0,47.0
Hispanic drivers,09005,25.0,67.0
White drivers,09009,159.0,435.0
Black drivers,09009,67.0,280.0
Hispanic drivers,09009,81.0,245.0
White drivers,09011,180.0,573.0
Black drivers,09011,48.0,138.0
Hispanic drivers,09011,31.0,105.0
White drivers,09013,198.0,452.0
Black drivers,09013,14.0,90.0
Hispanic drivers,09013,18.0,96.0
White drivers,ILLINOIS STATE POLICE 01,187.0,454.0
Black drivers,ILLINOIS STATE POLICE 01,31.0,120.0
Hispanic drivers,ILLINOIS STATE POLICE 01,24.0,87.0
White drivers,ILLINOIS STATE POLICE 02,211.0,879.0
Black drivers,ILLINOIS STATE POLICE 02,124.0,781.0
Hispanic drivers,ILLINOIS STATE POLICE 02,156.0,1082.0
White drivers,ILLINOIS STATE POLICE 03,477.0,2190.0
Black drivers,ILLINOIS STATE POLICE 03,1275.0,7804.0
Hispanic drivers,ILLINOIS STATE POLICE 03,363.0,2852.0
White drivers,ILLINOIS STATE POLICE 05,493.0,1400.0
Black drivers,ILLINOIS STATE POLICE 05,218.0,737.0
Hispanic drivers,ILLINOIS STATE POLICE 05,92.0,416.0
White drivers,ILLINOIS STATE POLICE 06,294.0,932.0
Black drivers,ILLINOIS STATE POLICE 06,247.0,814.0
Hispanic drivers,ILLINOIS STATE POLICE 06,44.0,221.0
White drivers,ILLINOIS STATE POLICE 07,317.0,1002.0
Black drivers,ILLINOIS STATE POLICE 07,96.0,336.0
Hispanic drivers,ILLINOIS STATE POLICE 07,48.0,181.0
White drivers,ILLINOIS STATE POLICE 08,325.0,1082.0
Black drivers,ILLINOIS STATE POLICE 08,234.0,757.0
Hispanic drivers,ILLINOIS STATE POLICE 08,17.0,83.0
White drivers,ILLINOIS STATE POLICE 09,767.0,2035.0
Black drivers,ILLINOIS STATE POLICE 09,518.0,1269.0
Hispanic drivers,ILLINOIS STATE POLICE 09,50.0,279.0
White drivers,ILLINOIS STATE POLICE 10,326.0,1063.0
Black drivers,ILLINOIS STATE POLICE 10,281.0,851.0
Hispanic drivers,ILLINOIS STATE POLICE 10,24.0,181.0
White drivers,ILLINOIS STATE POLICE 11,448.0,1318.0
Black drivers,ILLINOIS STATE POLICE 11,677.0,1613.0
Hispanic drivers,ILLINOIS STATE POLICE 11,77.0,342.0
White drivers,ILLINOIS STATE POLICE 12,903.0,2361.0
Black drivers,ILLINOIS STATE POLICE 12,304.0,844.0
Hispanic drivers,ILLINOIS STATE POLICE 12,39.0,226.0
White drivers,ILLINOIS STATE POLICE 13,492.0,1581.0
Black drivers,ILLINOIS STATE POLICE 13,169.0,618.0
